nombre_completo,edad,numero_boleto,numero_asiento
Alejandro Torres López,30,1,1
Diego Torres Soto,9,2,2
Mariana Hernández Cruz,37,3,3
Luis Aguilar Soto,24,4,4
Fernanda Ruiz Martínez,26,5,5
Ricardo Medina Vargas,38,6,6
Sofía Castillo Ponce,19,7,7
Mateo García León,34,8,8
Daniela López Silva,32,9,9
Jorge Sánchez Rivera,45,10,10
Paola Ramírez Díaz,28,11,11
Iván Flores Navarro,21,12,12
Teresa Morales Romero,40,13,13
Pedro Vargas Camacho,32,14,14
Karen Soto Aguilar,31,15,15
Brenda León Herrera,27,16,16
Miguel Cruz Delgado,36,17,17
Ana Molina Rojas,25,18,18
Jesús Paredes Luna,46,19,19
Valeria Cabrera Solís,28,20,20
Héctor Ortega Villalobos,41,21,21
Andrea Castillo Ramos,26,22,22
Carlos Navarro Cárdenas,32,23,23
Elisa Ramírez Cruz,23,24,24
Omar Herrera Lozano,37,25,25
Natalia Vega Bernal,28,26,26
Diego Tapia Rivera,35,27,27
Laura Camacho Flores,39,28,28
Héctor Sepúlveda Ramos,70,29,29
Rosa Camacho Valenzuela,77,30,30
Manuel Ramírez Castro,73,31,31
Irma Martínez Rivas,80,32,32
Alfredo Torres González,67,33,33
Petra García Solís,75,34,34
Camila Hernández Ruiz,10,35,35
Samuel Medina López,8,36,36
Zoe Aguilar Vega,6,37,37
Emiliano Cruz Ponce,11,38,38
Valentina Flores Navarro,6,39,39
Alan Ruiz Castro,22,40,40
